question,answer
"A severe storm needs four ingredients at once. Name any one of them.","Wind shear, Moisture, Instability, or Lift (any one)."
"What do we call the change in wind speed or direction with height that helps storms organise and rotate?","Wind shear."
"Warm, humid air near the ground supplies which storm ingredient?","Moisture."
"What is the name for the upward 'kick' — a front or mountain — that lifts air so a storm can begin?","Lift (the trigger)."
"When warm air sits under cooler air and wants to rise rapidly, the atmosphere is said to be what?","Unstable (atmospheric instability)."
"Which instrument bounces radio waves off raindrops to track a storm's wind and rain?","Doppler radar."
"The tall, anvil-shaped cloud that produces thunderstorms is called a what?","Cumulonimbus cloud."
"Roughly how long after seeing lightning do you hear thunder for every kilometre of distance?","About 3 seconds per kilometre (sound travels ~343 m/s)."
"What is a rotating column of air in contact with both the cloud base and the ground?","A tornado."
"In which Italian city is IUSS — the host of today's orientation — located?","Pavia."
"The Leaning Tower is the bell tower of the cathedral in which Tuscan city?","Pisa."
"Which Italian port city, squeezed between mountains and the sea, is a major shipping hub in Liguria?","Genoa (Genova)."
"What gas makes up roughly 78% of the air a storm is built from?","Nitrogen."
"Hail forms when ice is repeatedly carried up and down inside a storm by strong what?","Updrafts (rising air currents)."
"What unit is used to measure atmospheric pressure on a weather map?","Hectopascal / millibar (hPa / mb)."
"A 'supercell' is the most dangerous kind of thunderstorm because it has a deep rotating what?","Updraft (called a mesocyclone)."
"What colour are the safety flags or alerts typically used to warn the public of a severe storm?","Red (red alert / red warning)."
"Which scale rates tornado strength from EF0 to EF5 by the damage it causes?","The Enhanced Fujita (EF) scale."
"Forecasters give people time to act by issuing what before a storm arrives?","A warning (or watch / alert)."
"What everyday word describes water vapour turning back into liquid to form cloud droplets?","Condensation."
